Utterance,Start,End,Group,Participant,Transcript
165,563.42,569.37,10,1,I I was thinking maybe a little bit higher instead of lower but that also makes sense because I don't know any better
166,571.75,572.5,10,2,see this
167,575,577.25,10,2,This feels same almost try it
168,577,578,10,3,Oh let's try it out
169,581,589.17,10,1,It's strange that like you are saying that all of these stacked up were all identical to that and now these 
170,585.84,586.41,10,2,No no no no
171,586.17,587.67,10,3,Hundred and ten so that's like a hundred
172,589.42,601.34,10,2,No no no no so the thing is like when you put this it feels almost same because it's just ten gram difference that's why Let let's try it Yeah
173,596.5,603.02,10,3,So that that would put it at like a hundred Because that one would be a hundred and ten and this is a hundred ten so that's hundred
174,601.75,604.25,10,1,I mean this is very difficult why don't we just guess
175,606,609.75,10,2,fifty thirty eighty hundred hundred and ten over there
176,610.81,613.78,10,2,hundred and ten yeah let's put hundred and ten let's see what happens
177,614.67,616.41,10,3,Well If we're going to put a hundred and ten What No that's what I said this is alone it's it's hundred but what do you want to do first I think we should go with a hundred and ten first Then if y'all agree we can go with a hundred next right
178,615.14,627.57,10,2,No wait wait this is hundred this is hundred this is hundred So means hundred and ten is total this Yeah Okay yeah sure sure sure
179,626.25,626.43,10,1,Yeah
180,630.31,631.24,10,2,Sure let's see
181,635.04,637.63,10,3,Okay this is okay
182,637.65,638.42,10,2,Okay
183,640.89,651.34,10,3,Okay this is not quite correct So between the weights of the prior blocks
184,642.92,650.75,10,1,weights of the prior blocks and use it oh okay So these are ten ten twenty Thirty
185,647.18,647.5,10,2,Prior blocks
186,652.5,666.91,10,1,Fifty it's Fibonacci or something right One one two three five Wait eight eighty maybe Yeah
187,655.31,666.42,10,3,Wait wait what's Two three five eight thirteen twenty Eighty Yeah that's Fibonacci definitely
188,661.08,663.89,10,2,ten ten thirty fifty 
189,667.63,669.41,10,1,Ah I mean that's
190,668.13,677.25,10,2,Ten ten this is what twenty right one plus one two yup two plus one three yup three plus two five oh yeah that's fifty
191,677.75,685.81,10,2,and five plus three eight yeah let's go for eighty then That's a pattern that's it
192,681.34,692.64,10,3,Like just because of just becasuse that's Fibonacci Because I'm not sure what this hint is this is saying relationship between the weights which means
193,686.39,688.16,10,1,Like maybe we can find a pattern
194,692.91,704,10,2,Yeah it's is is there any other series I'm not missing out I mean ten Twenty Thirty Fifty
195,693.27,705.56,10,3,Is that the pattern or is that you know just use those weights Right That that is true anyway And also I mean
196,699.67,702.5,10,1,I'm not sure how far we can get by using the weight
197,706.5,709.5,10,3,We don't really have to be correct I mean we're trying to be correct but
198,711.02,722,10,3,But eighty is a big difference like you know from a hundred to an eighty Well let's try to see if there is a hint here
199,715.17,719.5,10,1,Yeah but also like I can't judge anything by just holding things
200,722.25,726,10,3,This is eight RB I think that that is eighty
201,726.75,727,10,3,I don't know what what's
202,727,728.5,10,1,This is nine RB so
203,730,731.5,10,3,Oh no they don't have any hints here
204,732.81,735.82,10,3,Eighty gram sounds seems like a ninety gram to me but
205,737.02,741.65,10,3,It's cool we have to I guess Eighty alright
206,738.57,740.67,10,2,Eighty let's let's go for eighty Yeah
207,741.89,752.5,10,3,I would go for ninety but you guys are going for eighty Alright Cool Okay
208,745.41,746.67,10,1,I would have gone for one thirty
209,747.5,749.5,10,2,Eighty there you go Yeah
210,753,758,10,4,For the final part of this test read the scenario and estimate the weight of the missing second mystery block
211,758.06,758.34,10,2,What's this
212,758.35,762.31,10,4,You will have two attempts to estimate and explain your answer you can now continue the survey
213,765.12,766.67,10,1,Can you read it out loud or something
214,766.92,771.42,10,3,Well the factory that creates the wooden blocks did not send us the second mystery block 
215,770.9,771.41,10,2,Okay
216,771.68,780.09,10,3,You have two opportunities to estimate the weight of the second block explain in one two sentences how you determined your estimate Indicate the weight of the second mystery block
217,781.87,792.67,10,1,Fibonacci like let's say That's the first one according to our translate Thirteen one thirty
218,784.03,795.67,10,2,Eight That's the first one So eight plus five Thirteen Yeah there is one thirty Eight plus five
219,784.47,786.52,10,3,Is that the first mystery block or the second mystery block
220,796.75,797.25,10,2,Just do it
221,798.25,799.47,10,3,Wait wait wait a second
222,800.5,801.71,10,3,So that was the first mystery block
223,801.74,801.77,10,2,Yeah
224,802.31,810.31,10,3,and we already did that Now this is Yeah oh okay okay okay okay Right
225,803.38,809.83,10,2,Yeah The second one Means according to that statement is the second one Mystery block two
226,811.04,812.52,10,2,So eight plus five one thirty
227,814.08,816.56,10,1,Makes sense to me as much sense as I can make of it
228,816.17,819.15,10,2,Yeah One thirty that's it
229,817.15,817.42,10,3,Okay
230,821.25,822.75,10,2,Follows Fibonacci series that's it
231,824.75,827.26,10,1,Follow Fibonacci Please explain one
232,826,826.5,10,3,Explain one
233,827.75,828.5,10,2,Yeah follows Fibonacci
234,836.15,837.92,10,3,mmm
235,854.83,859.07,10,2,And it works And it works that's it
236,860.57,862.32,10,3,Second is one thirty right
237,863.21,864.34,10,1,eighty plus fifty is
238,864.24,866.17,10,2,Yeah one one one thirty one thirty
239,864.27,867.67,10,3,Yeah it's one thirty it is I know that hang on a second one thirty
240,868.91,871.41,10,1,Don't want to be incorrect in addition
241,876.5,877,10,3,Okay
242,881.02,889.17,10,2,Yeah so we got it right Do not for fall but please identify Yay we completed it Yeah
243,884.57,888.92,10,3,Okay So yeah Fibonacci is what it is
244,890.41,892.17,10,3,Well they should ask this in GREs
